site_id,building_id,building_name,building_type,event_hour,event_date,hour_of_day,reporting_assets,observed_asset_hours,productive_asset_hours,utilization_pct,availability_pct,energy_kwh,avg_power_kw,peak_power_kw,data_coverage_pct
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 15:00:00,2026-07-27,15,13,12.917,12.75,98.71,99.35,1180.627,91.419,387.703,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 16:00:00,2026-07-27,16,13,13.0,12.083,92.95,98.72,1063.186,82.311,399.916,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 17:00:00,2026-07-27,17,13,13.0,11.75,90.38,99.36,934.118,72.788,316.761,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 18:00:00,2026-07-27,18,13,13.0,11.0,84.62,98.72,861.317,63.156,309.369,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 19:00:00,2026-07-27,19,13,13.083,11.167,85.35,96.82,777.591,60.869,291.186,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 20:00:00,2026-07-27,20,13,12.917,10.667,82.58,98.71,740.862,56.574,257.986,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 21:00:00,2026-07-27,21,13,13.0,5.0,38.46,100.0,238.068,18.551,91.369,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 22:00:00,2026-07-27,22,13,13.0,5.0,38.46,99.36,199.3,15.4,84.927,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-27 23:00:00,2026-07-27,23,13,13.0,5.0,38.46,94.23,170.441,13.281,84.165,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 00:00:00,2026-07-28,0,13,13.0,5.0,38.46,70.51,65.127,5.129,27.705,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 01:00:00,2026-07-28,1,13,13.0,4.917,37.82,77.56,72.444,5.38,27.878,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 02:00:00,2026-07-28,2,13,13.0,5.0,38.46,64.74,55.047,4.262,28.119,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 03:00:00,2026-07-28,3,13,13.0,5.0,38.46,73.72,71.977,5.537,28.453,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 04:00:00,2026-07-28,4,13,13.0,5.0,38.46,94.23,139.342,10.719,78.33,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 05:00:00,2026-07-28,5,13,13.0,5.0,38.46,99.36,202.781,15.599,89.009,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 06:00:00,2026-07-28,6,13,13.083,5.0,38.22,98.73,231.476,17.395,87.923,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 07:00:00,2026-07-28,7,13,12.917,10.0,77.42,98.06,664.052,52.425,270.81,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 08:00:00,2026-07-28,8,13,13.0,11.5,88.46,99.36,853.247,65.634,289.944,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 09:00:00,2026-07-28,9,13,13.0,11.75,90.38,99.36,892.905,69.019,305.073,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 10:00:00,2026-07-28,10,13,13.0,12.0,92.31,99.36,980.821,76.302,306.973,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 11:00:00,2026-07-28,11,13,13.0,12.25,94.23,99.36,1068.28,83.242,360.947,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 12:00:00,2026-07-28,12,13,13.0,12.833,98.72,99.36,1154.222,90.527,394.843,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 13:00:00,2026-07-28,13,13,13.0,13.0,100.0,100.0,1174.536,89.804,376.683,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 14:00:00,2026-07-28,14,13,13.0,12.75,98.08,98.08,1159.238,90.05,396.882,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 15:00:00,2026-07-28,15,13,13.0,12.667,97.44,97.44,1155.7,89.333,385.109,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 16:00:00,2026-07-28,16,13,13.0,12.583,96.79,99.36,1109.493,86.163,372.194,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 17:00:00,2026-07-28,17,13,13.083,11.0,84.08,97.45,871.919,67.274,323.959,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 18:00:00,2026-07-28,18,13,12.917,12.083,93.55,99.35,909.222,70.391,309.816,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 19:00:00,2026-07-28,19,13,13.0,11.25,86.54,100.0,846.26,65.517,292.349,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 20:00:00,2026-07-28,20,13,13.0,10.083,77.56,99.36,693.629,53.356,276.662,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 21:00:00,2026-07-28,21,13,13.0,5.0,38.46,99.36,218.904,16.947,95.708,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 22:00:00,2026-07-28,22,13,13.0,5.0,38.46,100.0,199.303,15.495,85.99,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-28 23:00:00,2026-07-28,23,13,13.0,4.917,37.82,92.31,191.889,14.856,82.592,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 00:00:00,2026-07-29,0,13,13.0,5.0,38.46,69.23,54.322,4.205,27.069,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 01:00:00,2026-07-29,1,13,13.0,5.0,38.46,68.59,57.954,4.493,27.024,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 02:00:00,2026-07-29,2,13,13.0,5.0,38.46,73.72,64.059,4.959,29.305,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 03:00:00,2026-07-29,3,13,13.0,5.0,38.46,72.44,71.066,5.475,28.575,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 04:00:00,2026-07-29,4,13,13.0,4.917,37.82,92.95,175.339,13.663,83.342,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 05:00:00,2026-07-29,5,13,13.0,5.0,38.46,100.0,221.194,17.061,86.896,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 06:00:00,2026-07-29,6,13,13.0,4.833,37.18,98.72,213.438,16.743,86.523,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 07:00:00,2026-07-29,7,13,13.0,10.083,77.56,99.36,691.974,53.726,270.055,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 08:00:00,2026-07-29,8,13,13.0,11.333,87.18,100.0,829.976,63.844,286.438,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 09:00:00,2026-07-29,9,13,13.0,11.583,89.1,98.08,898.575,69.121,294.289,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 10:00:00,2026-07-29,10,13,13.0,11.583,89.1,98.08,969.664,74.207,330.345,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 11:00:00,2026-07-29,11,13,13.0,12.75,98.08,100.0,1081.305,82.772,348.967,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 12:00:00,2026-07-29,12,13,13.0,13.0,100.0,100.0,1156.099,89.368,380.532,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 13:00:00,2026-07-29,13,13,13.0,12.75,98.08,98.72,1190.867,91.605,372.263,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 14:00:00,2026-07-29,14,13,13.0,13.0,100.0,100.0,1189.588,92.097,414.385,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 15:00:00,2026-07-29,15,13,13.0,12.75,98.08,98.08,1137.513,88.065,378.734,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 16:00:00,2026-07-29,16,13,13.0,12.5,96.15,98.72,1097.963,84.459,393.43,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 17:00:00,2026-07-29,17,13,12.917,11.167,86.45,99.35,954.079,74.212,321.07,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 18:00:00,2026-07-29,18,13,13.0,11.583,89.1,100.0,913.901,70.754,308.074,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 19:00:00,2026-07-29,19,13,13.083,11.5,87.9,100.0,846.371,64.186,287.7,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 20:00:00,2026-07-29,20,13,12.917,10.167,78.71,97.42,713.722,56.234,268.358,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 21:00:00,2026-07-29,21,13,13.0,5.0,38.46,100.0,219.562,16.889,92.392,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 22:00:00,2026-07-29,22,13,13.0,5.0,38.46,98.72,203.936,15.687,87.599,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-29 23:00:00,2026-07-29,23,13,13.0,5.0,38.46,93.59,185.28,14.252,81.586,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 00:00:00,2026-07-30,0,13,13.0,5.0,38.46,71.79,60.982,4.752,27.78,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 01:00:00,2026-07-30,1,13,13.0,4.917,37.82,72.44,58.053,4.524,27.213,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 02:00:00,2026-07-30,2,13,13.0,5.0,38.46,71.79,65.598,5.046,28.725,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 03:00:00,2026-07-30,3,13,13.0,5.0,38.46,69.23,60.025,4.507,28.306,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 04:00:00,2026-07-30,4,13,13.0,5.0,38.46,91.03,161.991,12.126,78.695,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 05:00:00,2026-07-30,5,13,13.0,5.0,38.46,98.72,196.965,15.348,82.265,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 06:00:00,2026-07-30,6,13,13.0,5.0,38.46,100.0,208.715,16.055,86.616,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 07:00:00,2026-07-30,7,13,13.0,10.083,77.56,100.0,654.244,50.326,261.241,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 08:00:00,2026-07-30,8,13,13.083,11.333,86.62,97.45,855.415,64.698,288.666,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 09:00:00,2026-07-30,9,13,12.917,11.5,89.03,99.35,882.296,69.532,301.343,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 10:00:00,2026-07-30,10,13,13.083,11.333,86.62,99.36,1019.431,77.196,329.833,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 11:00:00,2026-07-30,11,13,12.917,12.583,97.42,99.35,1060.003,83.684,359.315,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 12:00:00,2026-07-30,12,13,13.0,12.75,98.08,98.08,1141.8,88.268,384.294,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 13:00:00,2026-07-30,13,13,13.0,12.917,99.36,99.36,1174.367,90.919,376.285,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 14:00:00,2026-07-30,14,13,13.0,12.75,98.08,98.08,1142.283,87.868,355.294,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 15:00:00,2026-07-30,15,13,13.0,12.833,98.72,99.36,1175.287,89.001,420.374,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 16:00:00,2026-07-30,16,13,13.0,12.333,94.87,99.36,1064.067,81.574,361.788,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 17:00:00,2026-07-30,17,13,13.0,11.333,87.18,98.72,972.831,74.576,316.49,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 18:00:00,2026-07-30,18,13,13.167,12.0,91.14,99.37,894.531,67.832,305.215,101.3
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 19:00:00,2026-07-30,19,13,12.917,11.333,87.74,100.0,838.24,64.071,302.951,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 20:00:00,2026-07-30,20,13,12.917,10.167,78.71,100.0,670.127,52.218,271.071,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 21:00:00,2026-07-30,21,13,13.0,5.0,38.46,99.36,238.448,18.46,89.293,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 22:00:00,2026-07-30,22,13,13.0,5.0,38.46,100.0,201.896,15.708,82.927,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-30 23:00:00,2026-07-30,23,13,13.0,5.0,38.46,95.51,184.514,14.272,84.579,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 00:00:00,2026-07-31,0,13,13.0,5.0,38.46,71.79,59.386,4.616,27.089,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 01:00:00,2026-07-31,1,13,13.0,5.0,38.46,69.23,52.811,4.062,28.088,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 02:00:00,2026-07-31,2,13,13.0,5.0,38.46,76.28,64.885,4.991,29.061,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 03:00:00,2026-07-31,3,13,13.0,5.0,38.46,64.1,50.732,3.791,27.562,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 04:00:00,2026-07-31,4,13,13.0,5.0,38.46,91.03,169.029,12.668,83.491,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 05:00:00,2026-07-31,5,13,13.0,5.0,38.46,100.0,205.543,16.004,91.587,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 06:00:00,2026-07-31,6,13,13.0,5.0,38.46,100.0,186.842,14.751,89.113,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 07:00:00,2026-07-31,7,13,13.0,9.917,76.28,99.36,661.886,51.021,262.985,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 08:00:00,2026-07-31,8,13,13.0,11.75,90.38,99.36,860.494,66.192,275.398,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 09:00:00,2026-07-31,9,13,13.0,11.75,90.38,98.72,931.178,72.091,310.459,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 10:00:00,2026-07-31,10,13,13.0,11.667,89.74,100.0,974.33,74.65,321.424,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 11:00:00,2026-07-31,11,13,13.0,12.75,98.08,99.36,1102.617,84.817,352.901,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 12:00:00,2026-07-31,12,13,13.0,12.833,98.72,98.72,1178.458,92.264,388.607,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 13:00:00,2026-07-31,13,13,13.0,12.833,98.72,98.72,1198.062,92.753,379.208,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 14:00:00,2026-07-31,14,13,13.0,12.833,98.72,98.72,1205.822,92.756,391.475,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 15:00:00,2026-07-31,15,13,13.083,12.667,96.82,98.09,1180.639,87.479,361.713,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 16:00:00,2026-07-31,16,13,12.917,12.167,94.19,96.13,1029.855,79.731,368.683,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 17:00:00,2026-07-31,17,13,13.0,11.167,85.9,99.36,948.888,74.422,336.781,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 18:00:00,2026-07-31,18,13,13.0,11.083,85.26,97.44,894.629,67.54,295.189,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 19:00:00,2026-07-31,19,13,13.0,12.0,92.31,100.0,872.17,66.958,283.201,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 20:00:00,2026-07-31,20,13,13.0,10.667,82.05,99.36,743.947,56.95,271.166,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 21:00:00,2026-07-31,21,13,13.0,4.917,37.82,98.72,175.629,13.685,89.956,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 22:00:00,2026-07-31,22,13,13.0,5.0,38.46,99.36,209.728,16.224,84.922,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-07-31 23:00:00,2026-07-31,23,13,13.083,5.0,38.22,92.99,156.709,12.122,79.475,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 00:00:00,2026-08-01,0,13,12.917,4.833,37.42,66.45,56.298,4.387,24.515,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 01:00:00,2026-08-01,1,13,13.083,5.083,38.85,73.89,63.565,4.953,24.927,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 02:00:00,2026-08-01,2,13,12.917,4.917,38.06,72.9,61.352,4.76,24.992,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 03:00:00,2026-08-01,3,13,13.0,5.0,38.46,67.31,51.584,4.046,24.884,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 04:00:00,2026-08-01,4,13,13.0,5.0,38.46,73.08,59.509,4.637,25.632,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 05:00:00,2026-08-01,5,13,13.0,4.917,37.82,73.72,60.08,4.63,26.379,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 06:00:00,2026-08-01,6,13,13.0,5.0,38.46,75.0,62.757,4.827,27.234,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 07:00:00,2026-08-01,7,13,13.083,5.0,38.22,71.34,62.631,4.678,27.314,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 08:00:00,2026-08-01,8,13,12.917,5.0,38.71,72.26,55.086,4.292,28.646,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 09:00:00,2026-08-01,9,13,13.0,5.0,38.46,89.1,135.082,10.105,82.959,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 10:00:00,2026-08-01,10,13,13.0,5.0,38.46,99.36,187.535,14.426,86.188,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 11:00:00,2026-08-01,11,13,13.0,5.0,38.46,100.0,200.922,15.456,87.136,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 12:00:00,2026-08-01,12,13,13.0,5.0,38.46,100.0,202.69,15.592,87.909,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 13:00:00,2026-08-01,13,13,13.0,4.917,37.82,98.72,233.156,17.984,93.037,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 14:00:00,2026-08-01,14,13,13.083,5.0,38.22,98.73,220.381,16.52,89.797,100.6
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 15:00:00,2026-08-01,15,13,12.917,4.917,38.06,99.35,208.584,16.253,89.165,99.4
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 16:00:00,2026-08-01,16,13,13.0,5.0,38.46,99.36,231.356,17.534,84.798,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 17:00:00,2026-08-01,17,13,13.0,5.0,38.46,99.36,201.997,15.638,84.404,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 18:00:00,2026-08-01,18,13,13.0,5.0,38.46,89.74,159.44,12.505,85.033,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 19:00:00,2026-08-01,19,13,13.0,5.0,38.46,75.0,68.148,5.276,28.803,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 20:00:00,2026-08-01,20,13,13.0,5.0,38.46,74.36,60.133,4.626,26.812,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 21:00:00,2026-08-01,21,13,13.0,5.0,38.46,69.87,50.512,3.915,26.552,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 22:00:00,2026-08-01,22,13,13.0,5.0,38.46,74.36,54.328,4.206,25.302,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-01 23:00:00,2026-08-01,23,13,13.0,5.0,38.46,73.08,56.361,4.363,26.264,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-02 00:00:00,2026-08-02,0,13,13.0,5.0,38.46,73.08,56.567,4.379,25.081,100.0
SITE-BLR,SITE-BLR-BLD-01,Whitefield Building 1,Data Centre,2026-08-02 01:00:00,2026-08-02,1,13,13.083,5.083,38.85,73.25,62.195,4.815,24.674,100.6
